order_amount,product_category,payment_method,return_reason,past_returns,past_returns.1,past_returns.2,delivery_delay_days,refund_type,is_fraud,risk
227.2,Books,Gift Card,Not Delivered,5.0,Returned,-304.0,0.0,Instant,1,High
57.14,Electronics,Gift Card,Wrong item,0.0,Returned,-159.0,0.0,Instant,0,Low
274.29,Toys,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
371.15,Electronics,Gift Card,Not Delivered,5.0,Not Returned,,0.0,Instant,1,High
232.97,Toys,Debit Card,,5.0,Not Returned,,0.0,Post,0,Medium
455.82,Home,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
106.6,Toys,Credit Card,Item Damaged,5.0,Returned,113.0,0.0,Instant,1,High
317.9,Books,Gift Card,,3.0,Not Returned,,0.0,Post,0,Medium
413.34,Toys,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
481.73,Electronics,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
308.89,Toys,Debit Card,Not Delivered,3.0,Not Returned,,0.0,Instant,1,High
335.28,Home,Debit Card,Wrong item,1.0,Returned,-169.0,0.0,Instant,0,Low
290.49,Toys,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
331.26,Clothing,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
115.82,Electronics,Credit Card,Item Damaged,6.0,Returned,-131.0,0.0,Instant,1,High
246.15,Clothing,Gift Card,Wrong item,0.0,Returned,454.0,0.0,Instant,0,Low
43.82,Toys,Credit Card,,4.0,Not Returned,,0.0,Post,0,Medium
266.34,Toys,PayPal,Used then returned,6.0,Returned,-8.0,0.0,Instant,1,High
351.52,Toys,PayPal,Used then returned,3.0,Not Returned,,0.0,Instant,1,High
334.27,Books,PayPal,Changed mind,4.0,Returned,-353.0,0.0,Post,0,Medium
240.65,Books,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
105.7,Clothing,Credit Card,Used then returned,3.0,Returned,13.0,0.0,Instant,1,High
188.76,Home,Gift Card,Used then returned,5.0,Not Returned,,0.0,Instant,1,High
294.18,Toys,Gift Card,Item Damaged,6.0,Returned,-283.0,0.0,Instant,1,High
97.31,Home,Debit Card,Not Delivered,6.0,Returned,292.0,0.0,Instant,1,High
335.96,Home,Credit Card,Wrong item,5.0,Returned,-215.0,0.0,Post,0,Medium
344.31,Electronics,Credit Card,Used then returned,6.0,Returned,-155.0,0.0,Instant,1,High
297.62,Clothing,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
23.6,Books,Credit Card,Defective,0.0,Returned,403.0,0.0,Instant,0,Low
495.34,Toys,Debit Card,,3.0,Not Returned,,0.0,Post,0,Medium
49.47,Toys,Credit Card,,4.0,Not Returned,,0.0,Post,0,Medium
359.9,Clothing,Debit Card,Defective,5.0,Returned,-296.0,0.0,Post,0,Medium
283.79,Home,Debit Card,Item Damaged,6.0,Not Returned,,0.0,Instant,1,High
352.93,Home,Gift Card,Changed mind,0.0,Returned,-19.0,0.0,Instant,0,Low
353.51,Electronics,Debit Card,,4.0,Not Returned,,0.0,Post,0,Medium
301.68,Books,PayPal,Used then returned,4.0,Returned,-378.0,0.0,Instant,1,High
129.94,Home,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
16.37,Electronics,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
389.83,Books,Gift Card,Wrong item,4.0,Returned,-245.0,0.0,Post,0,Medium
344.6,Home,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
195.24,Clothing,Gift Card,Item Damaged,6.0,Not Returned,,0.0,Instant,1,High
428.0,Clothing,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
429.41,Books,Debit Card,Wrong item,0.0,Returned,-477.0,0.0,Instant,0,Low
280.61,Toys,Debit Card,Defective,1.0,Returned,111.0,0.0,Instant,0,Low
142.71,Books,Debit Card,,5.0,Not Returned,,0.0,Post,0,Medium
227.79,Toys,Gift Card,Item Damaged,4.0,Returned,-161.0,0.0,Instant,1,High
394.08,Electronics,Credit Card,Wrong item,1.0,Returned,216.0,0.0,Instant,0,Low
266.88,Clothing,Debit Card,,0.0,Not Returned,,0.0,Instant,0,Low
87.17,Toys,Gift Card,Defective,1.0,Returned,-338.0,0.0,Instant,0,Low
312.45,Toys,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
481.58,Toys,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
283.14,Clothing,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
84.9,Toys,Gift Card,Used then returned,5.0,Not Returned,,0.0,Instant,1,High
332.39,Electronics,Debit Card,Not as described,0.0,Returned,256.0,0.0,Instant,0,Low
139.6,Electronics,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
185.34,Books,PayPal,Not as described,5.0,Returned,287.0,0.0,Post,0,Medium
64.29,Toys,Debit Card,Not as described,1.0,Returned,461.0,0.0,Instant,0,Low
231.65,Electronics,Debit Card,Used then returned,6.0,Not Returned,,0.0,Instant,1,High
44.48,Electronics,Debit Card,,0.0,Not Returned,,0.0,Instant,0,Low
429.47,Clothing,Gift Card,Defective,1.0,Returned,-190.0,0.0,Instant,0,Low
496.22,Electronics,Gift Card,Used then returned,3.0,Returned,167.0,0.0,Instant,1,High
52.19,Electronics,Debit Card,Not as described,0.0,Returned,503.0,0.0,Instant,0,Low
427.29,Books,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
283.68,Home,Credit Card,Used then returned,4.0,Not Returned,,0.0,Instant,1,High
255.78,Home,Credit Card,,3.0,Not Returned,,0.0,Post,0,Medium
478.47,Books,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
78.94,Electronics,Credit Card,Changed mind,3.0,Returned,-76.0,0.0,Post,0,Medium
481.66,Home,PayPal,Item Damaged,5.0,Not Returned,,0.0,Instant,1,High
193.16,Toys,PayPal,Item Damaged,3.0,Not Returned,,0.0,Instant,1,High
99.21,Toys,PayPal,Item Damaged,4.0,Returned,-136.0,0.0,Instant,1,High
394.71,Home,Gift Card,Changed mind,0.0,Returned,148.0,0.0,Instant,0,Low
230.9,Home,Credit Card,Defective,5.0,Returned,338.0,0.0,Post,0,Medium
296.56,Clothing,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
490.55,Books,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
496.31,Toys,Gift Card,Defective,0.0,Returned,143.0,0.0,Instant,0,Low
104.39,Toys,Credit Card,Defective,4.0,Returned,-237.0,0.0,Post,0,Medium
434.25,Clothing,Gift Card,Not Delivered,5.0,Not Returned,,0.0,Instant,1,High
46.61,Books,Credit Card,Used then returned,4.0,Returned,389.0,0.0,Instant,1,High
284.49,Clothing,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
169.93,Books,Credit Card,Wrong item,1.0,Returned,111.0,0.0,Instant,0,Low
146.37,Books,Debit Card,Not Delivered,5.0,Not Returned,,0.0,Instant,1,High
444.43,Electronics,Debit Card,Item Damaged,4.0,Not Returned,,0.0,Instant,1,High
35.16,Home,PayPal,Defective,0.0,Returned,197.0,0.0,Instant,0,Low
287.93,Home,Debit Card,,4.0,Not Returned,,0.0,Post,0,Medium
448.84,Books,Gift Card,Used then returned,4.0,Returned,-152.0,0.0,Instant,1,High
168.68,Toys,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
466.62,Books,Debit Card,Not Delivered,5.0,Not Returned,,0.0,Instant,1,High
51.56,Clothing,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
79.31,Toys,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
315.11,Home,PayPal,Defective,1.0,Returned,-337.0,0.0,Instant,0,Low
259.57,Clothing,Credit Card,Used then returned,6.0,Returned,-402.0,0.0,Instant,1,High
137.72,Clothing,Debit Card,,0.0,Not Returned,,0.0,Instant,0,Low
464.67,Electronics,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
197.66,Toys,Credit Card,Used then returned,3.0,Returned,-372.0,0.0,Instant,1,High
79.9,Books,PayPal,Defective,4.0,Returned,293.0,0.0,Post,0,Medium
265.23,Electronics,Credit Card,Changed mind,1.0,Returned,226.0,0.0,Instant,0,Low
91.84,Books,Credit Card,Not as described,4.0,Returned,-156.0,0.0,Post,0,Medium
468.62,Clothing,Gift Card,Not Delivered,4.0,Not Returned,,0.0,Instant,1,High
245.44,Books,PayPal,Changed mind,1.0,Returned,66.0,0.0,Instant,0,Low
116.2,Toys,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
400.21,Home,PayPal,,5.0,Not Returned,,0.0,Post,0,Medium
490.8,Electronics,Credit Card,Changed mind,1.0,Returned,-245.0,0.0,Instant,0,Low
310.14,Books,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
247.46,Home,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
255.71,Home,Credit Card,,5.0,Not Returned,,0.0,Post,0,Medium
172.02,Books,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
170.05,Clothing,Debit Card,Item Damaged,5.0,Not Returned,,0.0,Instant,1,High
314.35,Toys,Credit Card,Not Delivered,6.0,Not Returned,,0.0,Instant,1,High
319.34,Electronics,Gift Card,Used then returned,4.0,Not Returned,,0.0,Instant,1,High
219.29,Books,Credit Card,Changed mind,1.0,Returned,-227.0,0.0,Instant,0,Low
174.94,Electronics,PayPal,Defective,4.0,Returned,566.0,0.0,Post,0,Medium
85.28,Home,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
18.83,Books,Gift Card,Wrong item,0.0,Returned,-20.0,0.0,Instant,0,Low
291.09,Electronics,Debit Card,Changed mind,1.0,Returned,-320.0,0.0,Instant,0,Low
386.51,Toys,Credit Card,Item Damaged,4.0,Returned,139.0,0.0,Instant,1,High
285.21,Electronics,Debit Card,Not as described,5.0,Returned,-186.0,0.0,Post,0,Medium
238.63,Clothing,Credit Card,Not Delivered,5.0,Not Returned,,0.0,Instant,1,High
16.55,Books,Credit Card,Changed mind,0.0,Returned,-179.0,0.0,Instant,0,Low
161.94,Home,Gift Card,Changed mind,1.0,Returned,-360.0,0.0,Instant,0,Low
173.42,Clothing,Gift Card,Wrong item,0.0,Returned,289.0,0.0,Instant,0,Low
199.13,Electronics,Credit Card,,4.0,Not Returned,,0.0,Post,0,Medium
219.56,Electronics,Debit Card,,0.0,Not Returned,,0.0,Instant,0,Low
288.71,Toys,Credit Card,Defective,1.0,Returned,-79.0,0.0,Instant,0,Low
66.65,Clothing,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
328.09,Clothing,Gift Card,Item Damaged,5.0,Not Returned,,0.0,Instant,1,High
222.62,Clothing,PayPal,Not Delivered,4.0,Not Returned,,0.0,Instant,1,High
404.5,Toys,Gift Card,,3.0,Not Returned,,0.0,Post,0,Medium
438.43,Toys,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
402.79,Books,PayPal,Item Damaged,4.0,Returned,-556.0,0.0,Instant,1,High
140.06,Toys,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
255.92,Home,Debit Card,,0.0,Not Returned,,0.0,Instant,0,Low
444.83,Clothing,PayPal,Defective,0.0,Returned,-622.0,0.0,Instant,0,Low
27.23,Electronics,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
332.49,Books,Credit Card,Changed mind,4.0,Returned,-515.0,0.0,Post,0,Medium
469.69,Home,Gift Card,,4.0,Not Returned,,0.0,Post,0,Medium
31.93,Books,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
24.41,Books,Credit Card,,4.0,Not Returned,,0.0,Post,0,Medium
217.79,Clothing,PayPal,Used then returned,3.0,Returned,345.0,0.0,Instant,1,High
434.66,Clothing,Debit Card,Not as described,3.0,Returned,329.0,0.0,Post,0,Medium
32.48,Books,Gift Card,Item Damaged,5.0,Not Returned,,0.0,Instant,1,High
231.11,Toys,Credit Card,Not Delivered,4.0,Returned,-476.0,0.0,Instant,1,High
291.43,Toys,PayPal,Defective,1.0,Returned,506.0,0.0,Instant,0,Low
128.65,Electronics,Debit Card,Changed mind,0.0,Returned,122.0,0.0,Instant,0,Low
396.48,Books,Debit Card,Wrong item,0.0,Returned,305.0,0.0,Instant,0,Low
300.03,Books,Credit Card,,3.0,Not Returned,,0.0,Post,0,Medium
324.85,Books,Debit Card,Defective,4.0,Returned,-352.0,0.0,Post,0,Medium
443.71,Toys,Credit Card,,4.0,Not Returned,,0.0,Post,0,Medium
458.16,Books,PayPal,Used then returned,4.0,Returned,-287.0,0.0,Instant,1,High
118.2,Clothing,Gift Card,Changed mind,3.0,Returned,160.0,0.0,Post,0,Medium
138.23,Home,PayPal,Wrong item,4.0,Returned,198.0,0.0,Post,0,Medium
47.05,Toys,Gift Card,Not as described,1.0,Returned,80.0,0.0,Instant,0,Low
9.03,Toys,Credit Card,Not as described,1.0,Returned,481.0,0.0,Instant,0,Low
143.73,Toys,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
381.39,Clothing,Debit Card,Used then returned,3.0,Returned,-230.0,0.0,Instant,1,High
140.05,Electronics,PayPal,,3.0,Not Returned,,0.0,Post,0,Medium
326.97,Toys,PayPal,Used then returned,6.0,Not Returned,,0.0,Instant,1,High
130.9,Books,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
80.81,Electronics,Gift Card,Not as described,0.0,Returned,-373.0,0.0,Instant,0,Low
233.21,Clothing,Debit Card,,5.0,Not Returned,,0.0,Post,0,Medium
244.32,Electronics,PayPal,Used then returned,3.0,Returned,-353.0,0.0,Instant,1,High
69.89,Clothing,Credit Card,Wrong item,5.0,Returned,330.0,0.0,Post,0,Medium
340.06,Toys,Credit Card,Not as described,3.0,Returned,209.0,0.0,Post,0,Medium
191.81,Toys,Debit Card,Changed mind,4.0,Returned,-153.0,0.0,Post,0,Medium
488.64,Books,Gift Card,Item Damaged,5.0,Not Returned,,0.0,Instant,1,High
360.81,Clothing,PayPal,Used then returned,4.0,Returned,-401.0,0.0,Instant,1,High
142.79,Home,PayPal,Not as described,4.0,Returned,-185.0,0.0,Post,0,Medium
356.89,Clothing,Debit Card,Defective,5.0,Returned,242.0,0.0,Post,0,Medium
406.41,Clothing,Debit Card,,0.0,Not Returned,,0.0,Instant,0,Low
55.35,Books,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
323.29,Toys,Gift Card,Not as described,1.0,Returned,-250.0,0.0,Instant,0,Low
178.98,Clothing,Credit Card,Not Delivered,5.0,Not Returned,,0.0,Instant,1,High
482.75,Home,Credit Card,,3.0,Not Returned,,0.0,Post,0,Medium
136.22,Clothing,Credit Card,Wrong item,1.0,Returned,-243.0,0.0,Instant,0,Low
182.01,Home,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
6.5,Electronics,Credit Card,Wrong item,1.0,Returned,-320.0,0.0,Instant,0,Low
124.46,Electronics,Debit Card,Used then returned,4.0,Not Returned,,0.0,Instant,1,High
13.04,Home,Credit Card,,4.0,Not Returned,,0.0,Post,0,Medium
252.78,Home,Gift Card,,5.0,Not Returned,,0.0,Post,0,Medium
82.57,Clothing,Credit Card,Item Damaged,3.0,Not Returned,,0.0,Instant,1,High
47.64,Electronics,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
323.61,Electronics,Credit Card,Used then returned,6.0,Not Returned,,0.0,Instant,1,High
325.87,Clothing,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
362.81,Clothing,Gift Card,Not as described,3.0,Returned,421.0,0.0,Post,0,Medium
317.9,Home,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
419.62,Toys,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
279.06,Home,Debit Card,,5.0,Not Returned,,0.0,Post,0,Medium
435.0,Electronics,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
358.69,Electronics,Gift Card,Used then returned,3.0,Returned,-272.0,0.0,Instant,1,High
321.88,Clothing,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
198.21,Books,Debit Card,Used then returned,5.0,Returned,-303.0,0.0,Instant,1,High
54.72,Toys,Debit Card,Not as described,0.0,Returned,-354.0,0.0,Instant,0,Low
488.4,Electronics,Debit Card,Not as described,1.0,Returned,194.0,0.0,Instant,0,Low
270.92,Books,PayPal,Defective,0.0,Returned,204.0,0.0,Instant,0,Low
465.76,Toys,Credit Card,Used then returned,5.0,Not Returned,,0.0,Instant,1,High
102.7,Toys,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
489.62,Toys,PayPal,Used then returned,4.0,Not Returned,,0.0,Instant,1,High
221.05,Clothing,PayPal,Item Damaged,3.0,Not Returned,,0.0,Instant,1,High
393.44,Clothing,Gift Card,Not Delivered,4.0,Returned,-261.0,0.0,Instant,1,High
128.35,Clothing,Gift Card,Used then returned,6.0,Returned,13.0,0.0,Instant,1,High
144.86,Toys,Debit Card,Item Damaged,6.0,Returned,228.0,0.0,Instant,1,High
179.56,Home,Credit Card,Not Delivered,6.0,Not Returned,,0.0,Instant,1,High
409.65,Clothing,Credit Card,Not as described,1.0,Returned,355.0,0.0,Instant,0,Low
170.03,Home,PayPal,Defective,0.0,Returned,13.0,0.0,Instant,0,Low
367.8,Books,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
143.01,Books,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
277.15,Books,Credit Card,Used then returned,6.0,Returned,137.0,0.0,Instant,1,High
261.91,Books,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
427.99,Home,Debit Card,Not Delivered,6.0,Returned,253.0,0.0,Instant,1,High
130.63,Home,Gift Card,Defective,0.0,Returned,393.0,0.0,Instant,0,Low
185.67,Toys,PayPal,Item Damaged,5.0,Not Returned,,0.0,Instant,1,High
345.5,Home,Gift Card,Not Delivered,3.0,Returned,-74.0,0.0,Instant,1,High
427.1,Books,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
54.41,Toys,Debit Card,Item Damaged,4.0,Not Returned,,0.0,Instant,1,High
273.54,Home,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
329.59,Home,PayPal,Changed mind,1.0,Returned,-96.0,0.0,Instant,0,Low
359.73,Home,PayPal,Wrong item,1.0,Returned,64.0,0.0,Instant,0,Low
378.25,Toys,Debit Card,Changed mind,1.0,Returned,66.0,0.0,Instant,0,Low
150.56,Clothing,Gift Card,Item Damaged,3.0,Not Returned,,0.0,Instant,1,High
291.63,Toys,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
151.4,Clothing,Debit Card,Changed mind,0.0,Returned,416.0,0.0,Instant,0,Low
89.8,Clothing,PayPal,Wrong item,0.0,Returned,-349.0,0.0,Instant,0,Low
246.71,Clothing,Gift Card,Not as described,0.0,Returned,-355.0,0.0,Instant,0,Low
150.75,Toys,Debit Card,Changed mind,1.0,Returned,-426.0,0.0,Instant,0,Low
478.53,Electronics,Credit Card,,1.0,Not Returned,,0.0,Instant,0,Low
72.07,Clothing,Debit Card,Used then returned,4.0,Not Returned,,0.0,Instant,1,High
331.08,Toys,Gift Card,Defective,5.0,Returned,26.0,0.0,Post,0,Medium
27.39,Books,Debit Card,Not Delivered,4.0,Returned,444.0,0.0,Instant,1,High
341.03,Home,Gift Card,Used then returned,6.0,Returned,668.0,0.0,Instant,1,High
299.98,Toys,Credit Card,Changed mind,1.0,Returned,665.0,0.0,Instant,0,Low
14.88,Electronics,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
80.88,Home,PayPal,Not as described,0.0,Returned,114.0,0.0,Instant,0,Low
450.4,Home,Gift Card,Changed mind,0.0,Returned,-244.0,0.0,Instant,0,Low
382.22,Toys,Debit Card,Not Delivered,5.0,Returned,-94.0,0.0,Instant,1,High
485.32,Books,Credit Card,Item Damaged,5.0,Returned,-7.0,0.0,Instant,1,High
80.4,Clothing,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
46.83,Toys,Debit Card,,0.0,Not Returned,,0.0,Instant,0,Low
121.7,Books,Credit Card,,4.0,Not Returned,,0.0,Post,0,Medium
35.8,Electronics,PayPal,Not Delivered,4.0,Not Returned,,0.0,Instant,1,High
395.28,Home,Credit Card,Not Delivered,4.0,Returned,418.0,0.0,Instant,1,High
409.57,Clothing,Debit Card,Defective,1.0,Returned,-413.0,0.0,Instant,0,Low
48.49,Clothing,Credit Card,Wrong item,0.0,Returned,538.0,0.0,Instant,0,Low
365.3,Books,Debit Card,Item Damaged,4.0,Returned,383.0,0.0,Instant,1,High
223.1,Books,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
266.83,Toys,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
333.67,Toys,PayPal,Wrong item,5.0,Returned,282.0,0.0,Post,0,Medium
104.54,Books,Gift Card,Changed mind,4.0,Returned,-295.0,0.0,Post,0,Medium
359.03,Electronics,PayPal,,4.0,Not Returned,,0.0,Post,0,Medium
385.95,Clothing,Debit Card,Not as described,0.0,Returned,-144.0,0.0,Instant,0,Low
354.81,Clothing,Gift Card,Defective,0.0,Returned,-62.0,0.0,Instant,0,Low
282.89,Clothing,Debit Card,Defective,0.0,Returned,-183.0,0.0,Instant,0,Low
394.63,Books,PayPal,Not as described,1.0,Returned,-156.0,0.0,Instant,0,Low
337.22,Books,PayPal,,0.0,Not Returned,,0.0,Instant,0,Low
392.03,Electronics,Debit Card,Not Delivered,6.0,Returned,288.0,0.0,Instant,1,High
210.46,Home,Gift Card,,5.0,Not Returned,,0.0,Post,0,Medium
394.61,Home,Gift Card,Not Delivered,4.0,Not Returned,,0.0,Instant,1,High
182.75,Books,PayPal,Not as described,0.0,Returned,179.0,0.0,Instant,0,Low
161.86,Books,Credit Card,Not Delivered,5.0,Returned,338.0,0.0,Instant,1,High
418.05,Home,Gift Card,Defective,4.0,Returned,-335.0,0.0,Post,0,Medium
124.04,Books,PayPal,Not Delivered,6.0,Not Returned,,0.0,Instant,1,High
12.83,Clothing,Credit Card,Defective,1.0,Returned,-150.0,0.0,Instant,0,Low
296.09,Home,Debit Card,Used then returned,6.0,Returned,-66.0,0.0,Instant,1,High
411.49,Electronics,Gift Card,Wrong item,1.0,Returned,-389.0,0.0,Instant,0,Low
389.91,Clothing,PayPal,Wrong item,0.0,Returned,-520.0,0.0,Instant,0,Low
119.65,Clothing,Gift Card,Wrong item,4.0,Returned,-482.0,0.0,Post,0,Medium
362.72,Electronics,Credit Card,Item Damaged,3.0,Not Returned,,0.0,Instant,1,High
257.04,Toys,Credit Card,Not Delivered,4.0,Not Returned,,0.0,Instant,1,High
338.15,Books,PayPal,Item Damaged,5.0,Returned,328.0,0.0,Instant,1,High
433.58,Home,Gift Card,Used then returned,5.0,Returned,-35.0,0.0,Instant,1,High
431.36,Home,Debit Card,,3.0,Not Returned,,0.0,Post,0,Medium
181.12,Clothing,Credit Card,Not Delivered,3.0,Returned,-483.0,0.0,Instant,1,High
401.31,Books,Gift Card,,0.0,Not Returned,,0.0,Instant,0,Low
494.96,Electronics,Gift Card,Used then returned,4.0,Returned,-130.0,0.0,Instant,1,High
418.25,Electronics,PayPal,Not as described,3.0,Returned,-11.0,0.0,Post,0,Medium
477.66,Clothing,PayPal,Defective,3.0,Returned,54.0,0.0,Post,0,Medium
372.61,Home,Gift Card,Not Delivered,4.0,Not Returned,,0.0,Instant,1,High
449.62,Electronics,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
43.12,Toys,Credit Card,Item Damaged,3.0,Returned,541.0,0.0,Instant,1,High
138.11,Toys,Gift Card,Used then returned,3.0,Not Returned,,0.0,Instant,1,High
296.53,Clothing,Debit Card,,4.0,Not Returned,,0.0,Post,0,Medium
404.99,Home,Debit Card,Item Damaged,5.0,Returned,117.0,0.0,Instant,1,High
139.65,Clothing,Credit Card,Wrong item,1.0,Returned,-121.0,0.0,Instant,0,Low
76.45,Home,PayPal,,1.0,Not Returned,,0.0,Instant,0,Low
456.02,Clothing,Gift Card,Changed mind,4.0,Returned,-93.0,0.0,Post,0,Medium
218.33,Home,Gift Card,Item Damaged,4.0,Not Returned,,0.0,Instant,1,High
101.63,Electronics,Credit Card,,3.0,Not Returned,,0.0,Post,0,Medium
423.45,Books,PayPal,Not Delivered,3.0,Returned,7.0,0.0,Instant,1,High
271.7,Clothing,Credit Card,Not Delivered,6.0,Not Returned,,0.0,Instant,1,High
264.28,Toys,PayPal,,5.0,Not Returned,,0.0,Post,0,Medium
365.89,Clothing,Credit Card,Not as described,0.0,Returned,130.0,0.0,Instant,0,Low
138.37,Home,PayPal,Item Damaged,4.0,Not Returned,,0.0,Instant,1,High
67.17,Home,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
341.18,Clothing,Debit Card,Item Damaged,6.0,Returned,-44.0,0.0,Instant,1,High
192.67,Electronics,Gift Card,Wrong item,0.0,Returned,226.0,0.0,Instant,0,Low
191.95,Clothing,Gift Card,Changed mind,4.0,Returned,-474.0,0.0,Post,0,Medium
471.67,Toys,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
68.22,Clothing,Credit Card,,3.0,Not Returned,,0.0,Post,0,Medium
160.79,Electronics,Gift Card,Defective,0.0,Returned,-291.0,0.0,Instant,0,Low
171.71,Books,Debit Card,Wrong item,1.0,Returned,-106.0,0.0,Instant,0,Low
237.12,Books,Gift Card,Changed mind,5.0,Returned,-361.0,0.0,Post,0,Medium
84.91,Home,Gift Card,,1.0,Not Returned,,0.0,Instant,0,Low
24.7,Clothing,Credit Card,,0.0,Not Returned,,0.0,Instant,0,Low
60.37,Books,Debit Card,,1.0,Not Returned,,0.0,Instant,0,Low
255.86,Books,Credit Card,Item Damaged,4.0,Not Returned,,0.0,Instant,1,High
88.69,Home,Debit Card,Item Damaged,5.0,Not Returned,,0.0,Instant,1,High
301.95,Books,Gift Card,,3.0,Not Returned,,0.0,Post,0,Medium
